nombre,tiempo_en_primera,continente,gano_mundial,estado
Lionel Messi,21,América,T,A
Son Heung-Min,15,Asia,F,A
Eden Hazard,16,Europa,F,R
Riyad Mahrez,14,África,F,A
Andrés Iniesta,19,Europa,T,R
João Félix,7,Europa,F,A
Thiago Silva,20,América,F,A
Kylian Mbappé,9,Europa,T,A
Achraf Hakimi,8,África,F,A
Pedri,5,Europa,F,A
Luis Suárez,19,América,F,A
Manuel Neuer,19,Europa,T,A
